ip_address|cluster_label
185.66.200.41|4
86.110.245.130|8
92.240.229.102|1
45.95.11.229|6
86.110.248.209|4
217.73.27.232|6
45.89.54.134|8
46.229.232.154|6
217.73.23.83|7
93.184.66.55|6
86.110.242.6|7
46.229.239.22|8
93.184.68.180|4
217.73.26.171|0
86.110.234.81|3
109.74.146.10|0
86.110.248.237|3
46.229.227.117|3
86.110.224.97|4
46.229.239.116|6
81.89.49.109|3
86.110.234.18|7
86.110.247.136|6
46.229.238.165|6
5.252.23.188|3
217.73.18.173|7
5.252.23.230|8
86.110.242.120|7
45.95.11.193|3
93.184.64.86|7
109.74.146.23|3
5.252.23.233|8
109.74.147.30|0
86.110.228.108|7
45.95.11.40|8
45.95.11.199|6
86.110.245.168|3
46.229.239.59|7
86.110.242.2|7
86.110.247.132|6
185.48.248.228|6
45.89.54.45|8
86.110.248.213|3
93.184.72.243|4
93.184.66.144|6
217.73.23.13|1
46.229.227.69|1
185.66.200.241|6
86.110.224.68|0
86.110.248.214|3
81.89.58.70|7
46.229.235.195|5
93.184.72.115|0
45.149.176.6|6
217.73.26.165|4
185.66.201.89|6
86.110.230.127|7
217.73.27.236|6
93.184.67.91|7
86.110.229.169|7
93.184.64.120|7
217.73.30.247|7
5.252.23.226|8
93.184.68.165|8
109.74.155.26|2
86.110.231.226|7
5.252.23.146|3
5.252.23.229|8
217.73.27.202|6
185.66.200.111|6
5.252.23.84|6
5.252.23.137|6
81.89.62.77|8
86.110.233.170|7
185.48.249.22|6
86.110.228.106|5
93.184.66.57|1
5.252.23.222|8
81.89.54.84|7
93.184.72.100|8
81.89.62.103|7
5.252.23.17|3
46.229.238.194|7
81.89.62.79|8
81.89.49.44|6
185.66.200.34|6
217.73.19.252|7
93.184.72.68|7
86.110.232.203|7
93.184.71.53|6
86.110.240.162|7
86.110.232.137|8
93.184.64.77|7
93.184.66.211|5
45.89.54.75|3
45.89.54.59|6
217.73.19.137|3
81.89.62.8|8
93.184.72.122|7
93.184.76.194|7
192.168.62.44|0
192.168.178.10|2
45.149.177.2|2
46.229.234.115|2
81.89.52.181|1
86.110.227.204|6
93.184.76.199|7
217.73.29.65|0
46.229.238.17|3
46.229.233.92|4
46.229.237.32|6
46.229.225.12|0
185.66.200.109|8
81.89.50.216|7
86.110.248.221|3
192.168.62.36|0
81.89.59.62|1
86.110.232.198|7
81.89.49.78|7
81.89.49.73|7
86.110.248.223|3
86.110.230.33|7
217.73.27.185|0
46.229.239.234|6
46.229.232.192|6
185.48.248.142|3
109.74.151.170|8
93.184.72.116|7
86.110.246.114|3
217.73.27.181|7
192.168.66.27|2
192.168.173.66|2
100.64.4.111|2
100.64.4.116|2
100.64.4.103|2
86.110.232.88|7
109.74.146.65|6
81.89.52.100|7
185.48.248.222|6
46.229.238.177|6
46.229.233.62|8
86.110.230.69|7
86.110.240.170|6
86.110.232.91|2
93.184.68.246|7
81.89.50.195|2
109.74.150.196|7
93.184.72.185|7
100.64.4.70|2
86.110.233.113|3
217.73.20.36|0
92.240.229.202|7
81.89.49.114|3
93.184.66.196|3
46.229.239.92|2
5.252.23.4|6
100.64.4.73|2
86.110.230.106|7
93.184.67.78|7
86.110.229.21|0
192.168.173.89|0
192.168.190.132|2
46.229.226.73|0
109.74.153.69|4
45.89.54.129|6
109.74.146.12|6
46.229.235.216|4
45.95.11.41|6
81.89.49.34|8
45.95.11.53|7
192.168.184.121|2
86.110.248.220|3
100.64.4.115|2
192.168.65.72|2
86.110.247.131|4
86.110.232.38|3
10.0.10.165|2
45.95.11.147|6
93.184.64.58|7
185.66.200.98|6
86.110.232.34|7
93.184.72.182|7
86.110.234.118|3
46.229.232.115|3
45.95.11.15|6
86.110.224.6|3
217.73.26.130|3
86.110.229.33|0
86.110.234.120|7
93.184.66.59|7
192.168.190.58|2
86.110.232.194|7
192.168.65.226|3
86.110.244.53|4
5.252.23.90|3
86.110.234.42|7
46.229.225.210|3
46.229.227.10|7
86.110.234.125|8
86.110.242.9|7
192.168.210.20|1
5.252.23.98|7
45.89.54.25|0
46.229.224.252|6
86.110.228.104|7
93.184.76.248|7
46.229.225.194|6
93.184.66.45|7
86.110.233.162|3
81.89.54.182|6
192.168.191.79|2
92.240.230.9|0
192.168.110.17|2
93.184.67.103|8
93.184.64.108|7
192.168.110.91|2
217.73.28.116|7
217.73.30.212|7
5.252.23.218|8
46.229.227.8|7
5.252.23.27|3
45.95.11.183|3
86.110.234.61|7
86.110.233.106|4
93.184.76.244|7
46.229.237.15|3
93.184.68.133|3
86.110.232.49|4
81.89.62.29|8
93.184.66.48|7
5.252.23.170|3
10.0.10.60|2
217.73.27.214|6
45.89.54.15|3
93.184.76.245|6
192.168.119.228|3
81.89.49.68|8
86.110.240.11|4
109.74.151.137|0
